PC1,PC2,Fatigue
2.1025709449111183,2.696065051097721,-1.7214315985094184
2.3718956762399417,1.4210001855566519,-1.7053386343731767
2.294477786931814,2.534116742465665,-1.7053386343731767
2.1686537324180013,2.9080118192280944,-1.6731527061006934
2.3417945247350023,3.205707218324175,-1.7589818481606487
2.1411480393003113,3.35743629025844,-1.6516954205857046
2.096283837862043,3.0978226642513276,-1.5980522067982323
2.1101989829606955,2.8925955955166742,-1.6516954205857046
2.4128156876040405,1.77799134787502,-1.490765779223288
2.2701046672483947,3.5195692795096134,-1.6838813488581879
2.0690644444988737,3.8744115503795724,-1.5980522067982323
-1.5846277327246316,2.990952881897781,-0.8363185710161278
-1.6112211665616833,2.9337218440716746,-0.7183035006836891
-1.589959135675993,1.861879471311214,-0.8148612855011389
-1.3708995862165438,0.9128437201018594,-0.8524115351523694
-1.6094333825013332,2.6305333317849966,-0.6807532510324585
-1.3330970995798617,1.802842140814477,-0.6807532510324585
-1.6212697603547999,2.5482392189306706,-0.5305522524275366
-1.5025268177057327,1.8833127276753525,-0.7236678220624363
-1.7158364097710312,3.034461807757112,-0.7343964648199307
-1.6172226930613796,3.437572115699191,-0.8470472137736222
-1.7077189365252807,2.5068819120868038,-0.643203001381228
-1.37031026718456,1.9610985004154855,-0.9328763558335776
-1.664888286302135,2.9473080216963896,-0.916783391697336
-1.6914817201391867,2.8900769838702836,-0.9006904275610944
-1.6702196892534964,1.8182346111098229,-1.0079768551360386
-1.4511601397940472,0.8691988599004684,-0.9328763558335776
-1.6896939360788366,2.5868884715836056,-0.943604998591072
-1.413357653157365,1.759197280613086,-0.8524115351523694
-1.7015303139323033,2.5045943587292796,-0.6861175724112057
-1.582787371283236,1.8396678674739615,-0.8470472137736222
-1.7960969633485346,2.9908169475557207,-0.8577758565311167
-1.697483246638883,3.3939272554978,-0.9543336413485666
-1.7879794901027841,2.4632370518854128,-0.8792331420461055
-1.4505708207620631,1.9174536402140945,-1.0455271047872692
-1.7451488398796382,2.903663161494999,-1.1206276040897303
-1.77174227371669,2.846432123668893,-0.9865195696210498
-1.7504802428309996,1.7745897509084319,-1.2225497102859273
-1.5314206933715504,0.8255539996990774,-1.1528135323622135
-1.7699544896563397,2.5432436113822146,-1.0240698192722804
